Sepal Length,Sepal Width,Petal Length,Petal Width,Species,Sepal Area,Petal Area,Flower Complexity Score,Average_Height,Color,Genus,Species_Name
5.1,3.4,1.5,0.2,Iris-setosa,17.34,0.3,57.8,25.4,Blue,Iris,setosa
5.0,3.5,1.3,0.3,Iris-setosa,17.5,0.39,44.87,25.4,Blue,Iris,setosa
4.5,2.3,1.3,0.3,Iris-setosa,10.35,0.39,26.54,25.4,Blue,Iris,setosa
4.4,3.2,1.3,0.2,Iris-setosa,14.08,0.26,54.15,25.4,Blue,Iris,setosa
5.0,3.5,1.6,0.6,Iris-setosa,17.5,0.96,18.23,25.4,Blue,Iris,setosa
5.1,3.8,1.9,0.4,Iris-setosa,19.38,0.76,25.5,25.4,Blue,Iris,setosa
4.8,3.0,1.4,0.3,Iris-setosa,14.4,0.42,34.29,25.4,Blue,Iris,setosa
5.1,3.8,1.6,0.2,Iris-setosa,19.38,0.32,60.56,25.4,Blue,Iris,setosa
4.6,3.2,1.4,0.2,Iris-setosa,14.72,0.28,52.57,25.4,Blue,Iris,setosa
5.3,3.7,1.5,0.2,Iris-setosa,19.61,0.3,65.37,25.4,Blue,Iris,setosa
5.0,3.3,1.4,0.2,Iris-setosa,16.5,0.28,58.93,25.4,Blue,Iris,setosa
7.0,3.2,4.7,1.4,Iris-versicolor,22.4,6.58,3.4,28.0,Purple,Iris,versicolor
6.4,3.2,4.5,1.5,Iris-versicolor,20.48,6.75,3.03,28.0,Purple,Iris,versicolor
6.9,3.1,4.9,1.5,Iris-versicolor,21.39,7.35,2.91,28.0,Purple,Iris,versicolor
5.5,2.3,4.0,1.3,Iris-versicolor,12.65,5.2,2.43,28.0,Purple,Iris,versicolor
6.5,2.8,4.6,1.5,Iris-versicolor,18.2,6.9,2.64,28.0,Purple,Iris,versicolor
5.7,2.8,4.5,1.3,Iris-versicolor,15.96,5.85,2.73,28.0,Purple,Iris,versicolor
6.3,3.3,4.7,1.6,Iris-versicolor,20.79,7.52,2.76,28.0,Purple,Iris,versicolor
4.9,2.4,3.3,1.0,Iris-versicolor,11.76,3.3,3.56,28.0,Purple,Iris,versicolor
6.6,2.9,4.6,1.3,Iris-versicolor,19.14,5.98,3.2,28.0,Purple,Iris,versicolor
5.2,2.7,3.9,1.4,Iris-versicolor,14.04,5.46,2.57,28.0,Purple,Iris,versicolor
5.0,2.0,3.5,1.0,Iris-versicolor,10.0,3.5,2.86,28.0,Purple,Iris,versicolor
5.9,3.0,4.2,1.5,Iris-versicolor,17.7,6.3,2.81,28.0,Purple,Iris,versicolor
6.0,2.2,4.0,1.0,Iris-versicolor,13.2,4.0,3.3,28.0,Purple,Iris,versicolor
6.1,2.9,4.7,1.4,Iris-versicolor,17.69,6.58,2.69,28.0,Purple,Iris,versicolor
5.6,2.9,3.6,1.3,Iris-versicolor,16.24,4.68,3.47,28.0,Purple,Iris,versicolor
6.7,3.1,4.4,1.4,Iris-versicolor,20.77,6.16,3.37,28.0,Purple,Iris,versicolor
5.6,3.0,4.5,1.5,Iris-versicolor,16.8,6.75,2.49,28.0,Purple,Iris,versicolor
5.8,2.7,4.1,1.0,Iris-versicolor,15.66,4.1,3.82,28.0,Purple,Iris,versicolor
6.2,2.2,4.5,1.5,Iris-versicolor,13.64,6.75,2.02,28.0,Purple,Iris,versicolor
5.6,2.5,3.9,1.1,Iris-versicolor,14.0,4.29,3.26,28.0,Purple,Iris,versicolor
5.9,3.2,4.8,1.8,Iris-versicolor,18.88,8.64,2.19,28.0,Purple,Iris,versicolor
6.1,2.8,4.0,1.3,Iris-versicolor,17.08,5.2,3.28,28.0,Purple,Iris,versicolor
6.3,2.5,4.9,1.5,Iris-versicolor,15.75,7.35,2.14,28.0,Purple,Iris,versicolor
6.1,2.8,4.7,1.2,Iris-versicolor,17.08,5.64,3.03,28.0,Purple,Iris,versicolor
6.4,2.9,4.3,1.3,Iris-versicolor,18.56,5.59,3.32,28.0,Purple,Iris,versicolor
6.6,3.0,4.4,1.4,Iris-versicolor,19.8,6.16,3.21,28.0,Purple,Iris,versicolor
6.8,2.8,4.8,1.4,Iris-versicolor,19.04,6.72,2.83,28.0,Purple,Iris,versicolor
6.7,3.0,5.0,1.7,Iris-versicolor,20.1,8.5,2.36,28.0,Purple,Iris,versicolor
6.0,2.9,4.5,1.5,Iris-versicolor,17.4,6.75,2.58,28.0,Purple,Iris,versicolor
5.7,2.6,3.5,1.0,Iris-versicolor,14.82,3.5,4.23,28.0,Purple,Iris,versicolor
5.5,2.4,3.8,1.1,Iris-versicolor,13.2,4.18,3.16,28.0,Purple,Iris,versicolor
5.5,2.4,3.7,1.0,Iris-versicolor,13.2,3.7,3.57,28.0,Purple,Iris,versicolor
5.8,2.7,3.9,1.2,Iris-versicolor,15.66,4.68,3.35,28.0,Purple,Iris,versicolor
6.0,2.7,5.1,1.6,Iris-versicolor,16.2,8.16,1.99,28.0,Purple,Iris,versicolor
5.4,3.0,4.5,1.5,Iris-versicolor,16.2,6.75,2.4,28.0,Purple,Iris,versicolor
6.0,3.4,4.5,1.6,Iris-versicolor,20.4,7.2,2.83,28.0,Purple,Iris,versicolor
6.7,3.1,4.7,1.5,Iris-versicolor,20.77,7.05,2.95,28.0,Purple,Iris,versicolor
6.3,2.3,4.4,1.3,Iris-versicolor,14.49,5.72,2.53,28.0,Purple,Iris,versicolor
5.6,3.0,4.1,1.3,Iris-versicolor,16.8,5.33,3.15,28.0,Purple,Iris,versicolor
5.5,2.5,4.0,1.3,Iris-versicolor,13.75,5.2,2.64,28.0,Purple,Iris,versicolor
5.5,2.6,4.4,1.2,Iris-versicolor,14.3,5.28,2.71,28.0,Purple,Iris,versicolor
6.1,3.0,4.6,1.4,Iris-versicolor,18.3,6.44,2.84,28.0,Purple,Iris,versicolor
5.8,2.6,4.0,1.2,Iris-versicolor,15.08,4.8,3.14,28.0,Purple,Iris,versicolor
5.0,2.3,3.3,1.0,Iris-versicolor,11.5,3.3,3.48,28.0,Purple,Iris,versicolor
5.6,2.7,4.2,1.3,Iris-versicolor,15.12,5.46,2.77,28.0,Purple,Iris,versicolor
5.7,3.0,4.2,1.2,Iris-versicolor,17.1,5.04,3.39,28.0,Purple,Iris,versicolor
5.7,2.9,4.2,1.3,Iris-versicolor,16.53,5.46,3.03,28.0,Purple,Iris,versicolor
6.2,2.9,4.3,1.3,Iris-versicolor,17.98,5.59,3.22,28.0,Purple,Iris,versicolor
5.1,2.5,3.0,1.1,Iris-versicolor,12.75,3.3,3.86,28.0,Purple,Iris,versicolor
5.7,2.8,4.1,1.3,Iris-versicolor,15.96,5.33,2.99,28.0,Purple,Iris,versicolor
6.3,3.3,6.0,2.5,Iris-virginica,20.79,15.0,1.39,30.0,Red,Iris,virginica
5.8,2.7,5.1,1.9,Iris-virginica,15.66,9.69,1.62,30.0,Red,Iris,virginica
7.1,3.0,5.9,2.1,Iris-virginica,21.3,12.39,1.72,30.0,Red,Iris,virginica
6.3,2.9,5.6,1.8,Iris-virginica,18.27,10.08,1.81,30.0,Red,Iris,virginica
6.5,3.0,5.8,2.2,Iris-virginica,19.5,12.76,1.53,30.0,Red,Iris,virginica
7.6,3.0,6.6,2.1,Iris-virginica,22.8,13.86,1.65,30.0,Red,Iris,virginica
4.9,2.5,4.5,1.7,Iris-virginica,12.25,7.65,1.6,30.0,Red,Iris,virginica
7.3,2.9,6.3,1.8,Iris-virginica,21.17,11.34,1.87,30.0,Red,Iris,virginica
6.7,2.5,5.8,1.8,Iris-virginica,16.75,10.44,1.6,30.0,Red,Iris,virginica
7.2,3.6,6.1,2.5,Iris-virginica,25.92,15.25,1.7,30.0,Red,Iris,virginica
6.5,3.2,5.1,2.0,Iris-virginica,20.8,10.2,2.04,30.0,Red,Iris,virginica
6.4,2.7,5.3,1.9,Iris-virginica,17.28,10.07,1.72,30.0,Red,Iris,virginica
6.8,3.0,5.5,2.1,Iris-virginica,20.4,11.55,1.77,30.0,Red,Iris,virginica
5.7,2.5,5.0,2.0,Iris-virginica,14.25,10.0,1.42,30.0,Red,Iris,virginica
5.8,2.8,5.1,2.4,Iris-virginica,16.24,12.24,1.33,30.0,Red,Iris,virginica
6.4,3.2,5.3,2.3,Iris-virginica,20.48,12.19,1.68,30.0,Red,Iris,virginica
6.5,3.0,5.5,1.8,Iris-virginica,19.5,9.9,1.97,30.0,Red,Iris,virginica
7.7,3.8,6.7,2.2,Iris-virginica,29.26,14.74,1.99,30.0,Red,Iris,virginica
7.7,2.6,6.9,2.3,Iris-virginica,20.02,15.87,1.26,30.0,Red,Iris,virginica
6.0,2.2,5.0,1.5,Iris-virginica,13.2,7.5,1.76,30.0,Red,Iris,virginica
6.9,3.2,5.7,2.3,Iris-virginica,22.08,13.11,1.68,30.0,Red,Iris,virginica
5.6,2.8,4.9,2.0,Iris-virginica,15.68,9.8,1.6,30.0,Red,Iris,virginica
7.7,2.8,6.7,2.0,Iris-virginica,21.56,13.4,1.61,30.0,Red,Iris,virginica
6.3,2.7,4.9,1.8,Iris-virginica,17.01,8.82,1.93,30.0,Red,Iris,virginica
6.7,3.3,5.7,2.1,Iris-virginica,22.11,11.97,1.85,30.0,Red,Iris,virginica
7.2,3.2,6.0,1.8,Iris-virginica,23.04,10.8,2.13,30.0,Red,Iris,virginica
6.2,2.8,4.8,1.8,Iris-virginica,17.36,8.64,2.01,30.0,Red,Iris,virginica
6.1,3.0,4.9,1.8,Iris-virginica,18.3,8.82,2.07,30.0,Red,Iris,virginica
6.4,2.8,5.6,2.1,Iris-virginica,17.92,11.76,1.52,30.0,Red,Iris,virginica
7.2,3.0,5.8,1.6,Iris-virginica,21.6,9.28,2.33,30.0,Red,Iris,virginica
7.4,2.8,6.1,1.9,Iris-virginica,20.72,11.59,1.79,30.0,Red,Iris,virginica
7.9,3.8,6.4,2.0,Iris-virginica,30.02,12.8,2.35,30.0,Red,Iris,virginica
6.4,2.8,5.6,2.2,Iris-virginica,17.92,12.32,1.45,30.0,Red,Iris,virginica
6.3,2.8,5.1,1.5,Iris-virginica,17.64,7.65,2.31,30.0,Red,Iris,virginica
6.1,2.6,5.6,1.4,Iris-virginica,15.86,7.84,2.02,30.0,Red,Iris,virginica
7.7,3.0,6.1,2.3,Iris-virginica,23.1,14.03,1.65,30.0,Red,Iris,virginica
6.3,3.4,5.6,2.4,Iris-virginica,21.42,13.44,1.59,30.0,Red,Iris,virginica
6.4,3.1,5.5,1.8,Iris-virginica,19.84,9.9,2.0,30.0,Red,Iris,virginica
6.0,3.0,4.8,1.8,Iris-virginica,18.0,8.64,2.08,30.0,Red,Iris,virginica
6.9,3.1,5.4,2.1,Iris-virginica,21.39,11.34,1.89,30.0,Red,Iris,virginica
6.7,3.1,5.6,2.4,Iris-virginica,20.77,13.44,1.55,30.0,Red,Iris,virginica
6.9,3.1,5.1,2.3,Iris-virginica,21.39,11.73,1.82,30.0,Red,Iris,virginica
6.8,3.2,5.9,2.3,Iris-virginica,21.76,13.57,1.6,30.0,Red,Iris,virginica
6.7,3.3,5.7,2.5,Iris-virginica,22.11,14.25,1.55,30.0,Red,Iris,virginica
6.7,3.0,5.2,2.3,Iris-virginica,20.1,11.96,1.68,30.0,Red,Iris,virginica
6.3,2.5,5.0,1.9,Iris-virginica,15.75,9.5,1.66,30.0,Red,Iris,virginica
6.5,3.0,5.2,2.0,Iris-virginica,19.5,10.4,1.88,30.0,Red,Iris,virginica
6.2,3.4,5.4,2.3,Iris-virginica,21.08,12.42,1.7,30.0,Red,Iris,virginica
5.9,3.0,5.1,1.8,Iris-virginica,17.7,9.18,1.93,30.0,Red,Iris,virginica
