fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol per liter,total acidity,acid ratio,normalized residual sugar,sweetness level,WQI
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,Low,9.16044,Medium,0.041666666666666664,1.8077734257306417,Dry,23.030626286072426
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,Medium,9.58656,Medium,0.0,5.507710795113158,Medium,20.51786960673214
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,Medium,10.773000000000001,Medium,0.0175,2.406015037593985,Dry,27.598148148148145
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,Medium,9.66896,Medium,0.035,2.106741573033708,Dry,13.986277628373557
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,Low,9.741200000000001,Medium,0.012857142857142857,1.5090543259557345,Dry,17.276153232242617
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,Low,10.4769,Medium,0.045,5.913008618961716,Medium,38.842098353886286
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,Low,10.4769,Medium,0.045,5.913008618961716,Medium,38.842098353886286
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,Low,9.277680000000002,Medium,0.03333333333333333,2.8067361668003206,Dry,15.834342496879
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,Medium,10.4664,Medium,0.025,2.6083467094703052,Dry,11.777210695623864
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,Low,10.267040000000001,Medium,0.024444444444444446,2.2070626003210276,Dry,15.214480330025193
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,Low,9.463899999999999,Medium,0.002857142857142857,1.8068660911463563,Dry,13.927115299343898
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,Low,13.013539999999999,Low,0.03,2.1139520837527686,Dry,45.01869064447945
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,Low,9.1724,Medium,0.04777777777777778,2.2066198595787365,Dry,28.519006600923593
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,Low,9.47055,Medium,0.05777777777777778,1.604975423813823,Dry,17.956777296371225
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,Low,9.16136,Medium,0.032857142857142856,1.6067483430407714,Dry,15.097350131752306
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,Low,9.15768,Medium,0.06166666666666667,1.4064697609001406,Dry,43.509386194019775
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,Low,9.173319999999999,Medium,0.02888888888888889,1.7049443385818874,Dry,31.053997321534453
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,Medium,9.358640000000001,Medium,0.005714285714285714,2.2097227802330255,Dry,12.363001937995424
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,Medium,9.357700000000001,Medium,0.005714285714285714,2.109492717227524,Dry,14.656038167713113
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,Low,9.3718,Medium,0.04,3.0090270812437314,Dry,22.14212971703822
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,Medium,10.1541,Medium,0.01875,2.812656956303365,Dry,13.600184472068248
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,Low,9.4791,Medium,0.005,3.8083784325516135,Dry,11.545525461594059
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,Low,9.57216,High,0.05181818181818181,3.409888677163775,Dry,14.409290940319453
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,Low,9.38402,Medium,0.015,5.108684764098968,Medium,13.548563187189362
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,Low,9.975000000000001,Medium,0.0225,2.305764411027569,Dry,18.498662055766797
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,Medium,9.36428,Medium,0.03875,2.4091547881951416,Dry,28.337834533503024
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,Low,9.1816,Medium,0.044444444444444446,2.2044088176352705,Dry,16.136461294870905
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,Low,9.270240000000001,Medium,0.06125,1.8057784911717496,Dry,30.671748397789315
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,Medium,9.4696,Medium,0.02,1.906099518459069,Dry,17.33460698137095
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,Low,9.766680000000001,Medium,0.00625,2.006823198876179,Dry,23.61135508451508
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,Low,10.85858,Medium,0.00625,4.667737402128087,Medium,16.401666890867837
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,Low,10.85858,Medium,0.00625,4.667737402128087,Medium,16.401666890867837
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,Low,9.56928,Medium,0.01375,1.5048154093097914,Dry,20.54032541913985
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,Low,10.659339999999998,Medium,0.01,1.6061031921300946,Dry,15.521772920048257
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,Low,10.66683,Medium,0.056999999999999995,2.0062192797672784,Dry,14.266213006687904
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,Medium,10.4601,Medium,0.005555555555555556,1.907247540654487,Dry,14.385392187192513
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,Medium,9.46865,Medium,0.01,1.906290759506371,Dry,11.620835954515108
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,Low,9.463899999999999,Medium,0.02875,2.108010439670749,Dry,30.86032320561277
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,Low,9.46295,Medium,0.0275,1.9074390121473748,Dry,28.738850886279298
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,Low,9.17792,Medium,0.02888888888888889,2.1050521251002405,Dry,22.022967496648988
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,Low,9.584639999999998,Medium,0.054000000000000006,2.5040064102564106,Dry,17.01938124215203
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,Low,10.4853,Medium,0.07111111111111111,2.2030843180452635,Dry,25.82728752344577
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,Low,10.4853,Medium,0.07111111111111111,2.2030843180452635,Dry,25.82728752344577
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,Medium,10.66362,Medium,0.0,2.408187838651415,Dry,13.688413066570511
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,Low,10.05758,Medium,0.017142857142857144,2.008435428800964,Dry,36.2656727775251
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,Low,9.07452,Medium,0.022222222222222223,1.5042117930204573,Dry,24.503521244653317
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,Low,9.16136,Medium,0.028571428571428574,1.6067483430407714,Dry,28.230118599503747
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,Low,9.37556,Medium,0.0875,1.9049528774814517,Dry,18.75460219793442
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,Low,9.0727,Medium,0.05875,2.0060180541624875,Dry,20.157232277526393
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,Low,9.37086,Medium,0.0325,1.8055973517905508,Dry,19.47431668501256
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,Medium,10.25777,Medium,0.06857142857142857,1.807410382568531,Dry,20.12507551240561
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,Low,10.060609999999999,Medium,0.02142857142857143,2.2086135930127497,Dry,13.404095556997472
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,Medium,9.87228,Medium,0.031111111111111114,1.9053349378259126,Dry,36.281534256011064
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,Low,9.56736,Medium,0.0325,1.9064820389323698,Dry,19.86483902717513
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,Low,9.4791,Medium,0.044,2.1046301864101022,Dry,20.640721952171567
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,Low,8.9802,Medium,0.01,1.803968731208659,Dry,17.960967624259006
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,Low,9.4658,Medium,0.0325,1.90686471296668,Dry,19.203342105263157
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,Medium,9.87228,Medium,0.031111111111111114,1.9053349378259126,Dry,36.281534256011064
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,Low,9.77256,Medium,0.03222222222222222,2.0056157240272765,Dry,37.27048666951235
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,Low,9.56736,Medium,0.0325,1.9064820389323698,Dry,19.86483902717513
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,Low,10.4349,Medium,0.006666666666666667,1.4087341517407928,Dry,14.244963818995203
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,Medium,12.81228,Low,0.034,2.3157470801449858,Dry,35.40919837163042
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,Low,10.66255,Medium,0.0,3.0105368790767684,Dry,17.25543613707165
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,Low,9.165959999999998,Medium,0.03125,2.007427481682224,Dry,39.44402423788105
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,Low,9.767660000000001,Medium,0.0075,2.5082773151399618,Dry,12.602603667553977
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,Medium,8.9748,Medium,0.02,1.9053349378259126,Dry,16.012135644253384
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,Medium,10.171439999999999,Medium,0.03333333333333333,2.10589651022864,Dry,25.228750664176715
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,Medium,10.35736,Medium,0.0375,1.9078220704890048,Dry,16.32246776011936
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,Medium,8.9748,Medium,0.02,1.9053349378259126,Dry,16.012135644253384
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,Low,9.16964,Medium,0.024444444444444446,2.106952944717568,Dry,29.589041717963667
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,Low,9.362400000000001,Medium,0.03,2.2088353413654622,Dry,38.74868266708928
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,Low,9.16964,Medium,0.024444444444444446,2.106952944717568,Dry,29.589041717963667
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,Low,9.274890000000001,Medium,0.085,1.7046024265516895,Dry,22.82144890204744
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,Low,9.271170000000001,Medium,0.04428571428571428,1.7052863878021867,Dry,24.60487928164606
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,Medium,9.57696,Medium,0.06625,2.506014434643143,Dry,24.81429757773695
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,Low,9.271170000000001,Medium,0.05777777777777778,2.0062192797672784,Dry,23.22789035909336
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,Low,9.4658,Medium,0.02375,1.8065034122842234,Dry,22.19584615830004
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,Low,9.76472,Medium,0.01,2.207948615014051,Dry,51.42899610694919
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,Low,9.76472,Medium,0.011111111111111112,2.207948615014051,Dry,41.98529535325102
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,Medium,9.68836,Medium,0.044,2.302763315979175,Dry,12.590411312927516
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,Low,9.4658,Medium,0.02375,1.8065034122842234,Dry,22.19584615830004
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,Medium,10.4643,Medium,0.031,2.207505518763797,Dry,25.966038586413585
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,Medium,9.978,Medium,0.031111111111111114,1.9041892162758067,Dry,20.694879399038594
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,Medium,9.3718,Medium,0.015,2.0060180541624875,Dry,22.643942138894737
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,Medium,10.85858,Medium,0.0044444444444444444,2.20839188917888,Dry,22.343697904819667
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,Medium,9.162279999999999,Medium,0.01,1.807410382568531,Dry,23.131206053042337
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,Low,8.9658,Medium,0.01125,1.7064846416382253,Dry,47.498427282194164
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,Medium,10.85858,Medium,0.0044444444444444444,2.20839188917888,Dry,22.343697904819667
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,Low,9.1816,Medium,0.0,2.50501002004008,Dry,24.460052304674726
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,Low,9.4772,Medium,0.0,2.6062550120288694,Dry,18.017074212568115
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,Low,9.462,Medium,0.02125,1.606425702811245,Dry,26.997028032036614
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,Low,9.38496,Medium,0.004,1.9030448717948718,Dry,19.10201963876256
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,Low,10.860759999999999,Medium,0.0,1.7061421116017663,Dry,22.533920521560894
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,Low,10.860759999999999,Medium,0.0,1.8065034122842234,Dry,22.55188258020472
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,Medium,10.4601,Medium,0.017777777777777778,1.8068660911463563,Dry,29.224959011452682
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,Low,9.357700000000001,Medium,0.024999999999999998,1.808136614766449,Dry,19.104948471625566
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,Low,9.36992,Medium,0.06222222222222223,2.0064205457463884,Dry,24.916714452710558
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,Low,12.9181,Medium,0.015,2.3145818657542514,Dry,32.58152777231294
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,Low,12.9181,Medium,0.015,2.3145818657542514,Dry,32.58152777231294
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,Medium,9.75296,Medium,0.0014285714285714286,1.507234726688103,Dry,10.667314049707473
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,Medium,9.85941,Medium,0.005555555555555556,2.209057134250427,Dry,13.592189124326891
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,Low,9.5664,Medium,0.012222222222222223,1.90667335674862,Dry,22.08853086788942
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,Low,9.4696,Medium,0.016666666666666666,1.8057784911717496,Dry,28.46241120246955
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,Low,9.17424,Medium,0.045,2.0056157240272765,Dry,20.220467293385422
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,Low,9.463899999999999,Medium,0.02375,2.108010439670749,Dry,37.6030445668627
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,Low,9.463899999999999,Medium,0.02375,2.007628990162618,Dry,34.371205187546614
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,Low,9.5664,Medium,0.012222222222222223,1.90667335674862,Dry,22.08853086788942
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,Low,9.4696,Medium,0.016666666666666666,1.8057784911717496,Dry,28.46241120246955
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,Medium,13.8824,Medium,0.0,1.8152480839048002,Dry,15.468093996630309
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,Low,9.35676,Medium,0.011428571428571429,1.707856138235885,Dry,36.45163832581334
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,Medium,13.8824,Medium,0.0,1.8152480839048002,Dry,15.468093996630309
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,Low,9.36992,Medium,0.061111111111111116,1.8057784911717496,Dry,24.588800458869873
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,Low,9.943999999999999,Medium,0.0033333333333333335,1.8101367658889784,Dry,25.836821870637504
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,Low,9.270240000000001,Medium,0.0325,1.6051364365971108,Dry,47.076930224031464
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,Medium,10.15818,Medium,0.014285714285714287,2.3094688221709005,Dry,15.37960909695264
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,Medium,10.47375,Medium,0.04888888888888889,2.807017543859649,Dry,22.12224025974026
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,Medium,10.25674,Medium,0.05875,2.108857200241012,Dry,13.736007278843882
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,Low,9.39624,Medium,0.1,3.401360544217687,Dry,13.480979868466662
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,Low,10.0495,Medium,0.00375,1.8090452261306533,Dry,22.539707624608617
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,Low,10.0495,Medium,0.00375,1.8090452261306533,Dry,22.539707624608617
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,Low,10.47165,Medium,0.0525,5.514890203549584,Medium,24.959281186246702
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,Low,10.47165,Medium,0.0525,5.514890203549584,Medium,25.575953823953824
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,Low,10.47165,Medium,0.0525,5.514890203549584,Medium,24.959281186246702
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,Low,10.47165,Medium,0.0525,5.514890203549584,Medium,25.575953823953824
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,Low,9.271170000000001,Medium,0.0,2.2068412077440067,Dry,12.028597262952102
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,Medium,9.270240000000001,Medium,0.025714285714285714,1.906099518459069,Dry,26.982228625478584
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,Low,9.56064,Medium,0.003333333333333333,2.008233758409479,Dry,16.83793704543221
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,Low,9.1678,Medium,0.0025,1.3045659809332664,Dry,13.745306575140383
